order_item_id,order_id,product_id,quantity,unit_price,line_total
ITEM00000001,ORD0000001,PROD00409,1,318.86,318.86
ITEM00000002,ORD0000002,PROD00456,1,718.39,718.39
ITEM00000003,ORD0000003,PROD00691,1,315.32,315.32
ITEM00000004,ORD0000003,PROD00997,1,28.19,28.19
ITEM00000005,ORD0000004,PROD00070,1,91.46,91.46
ITEM00000006,ORD0000005,PROD00543,1,492.23,492.23
ITEM00000007,ORD0000006,PROD00628,1,425.09,425.09
ITEM00000008,ORD0000007,PROD01126,1,599.41,599.41
ITEM00000009,ORD0000008,PROD00924,1,126.9,126.9
ITEM00000010,ORD0000009,PROD00288,1,455.16,455.16
ITEM00000011,ORD0000010,PROD01144,1,22.72,22.72
ITEM00000012,ORD0000010,PROD00417,1,281.99,281.99
ITEM00000013,ORD0000011,PROD00015,1,330.47,330.47
ITEM00000014,ORD0000012,PROD00177,1,47.22,47.22
ITEM00000015,ORD0000013,PROD00003,1,574.35,574.35
ITEM00000016,ORD0000014,PROD01170,1,639.56,639.56
ITEM00000017,ORD0000015,PROD00045,1,243.07,243.07
ITEM00000018,ORD0000015,PROD00465,1,75.3,75.3
ITEM00000019,ORD0000016,PROD00446,1,89.27,89.27
ITEM00000020,ORD0000016,PROD00023,1,242.5,242.5
ITEM00000021,ORD0000017,PROD00055,1,636.97,636.97
ITEM00000022,ORD0000017,PROD00222,1,74.83,74.83
ITEM00000023,ORD0000017,PROD00064,1,77.43,77.43
ITEM00000024,ORD0000017,PROD00031,1,330.29,330.29
ITEM00000025,ORD0000018,PROD00333,1,460.51,460.51
ITEM00000026,ORD0000019,PROD00810,1,386.77,386.77
ITEM00000027,ORD0000019,PROD00047,1,303.55,303.55
ITEM00000028,ORD0000020,PROD00301,1,293.94,293.94
ITEM00000029,ORD0000021,PROD00522,1,232.13,232.13
ITEM00000030,ORD0000022,PROD01117,1,635.71,635.71
ITEM00000031,ORD0000023,PROD00424,1,247.0,247.0
ITEM00000032,ORD0000023,PROD00122,1,178.93,178.93
ITEM00000033,ORD0000024,PROD00543,2,492.23,984.46
ITEM00000034,ORD0000025,PROD01086,1,159.75,159.75
ITEM00000035,ORD0000026,PROD00120,1,400.15,400.15
ITEM00000036,ORD0000027,PROD00552,1,358.33,358.33
ITEM00000037,ORD0000028,PROD01041,3,703.4,2110.2
ITEM00000038,ORD0000029,PROD01182,1,72.79,72.79
ITEM00000039,ORD0000029,PROD00585,1,200.78,200.78
ITEM00000040,ORD0000030,PROD01049,1,62.66,62.66
ITEM00000041,ORD0000031,PROD00263,1,80.82,80.82
ITEM00000042,ORD0000032,PROD00428,1,111.31,111.31
ITEM00000043,ORD0000033,PROD00892,1,110.37,110.37
ITEM00000044,ORD0000034,PROD01098,1,341.09,341.09
ITEM00000045,ORD0000034,PROD00153,1,327.68,327.68
ITEM00000046,ORD0000035,PROD00609,1,28.66,28.66
ITEM00000047,ORD0000035,PROD01122,1,61.51,61.51
ITEM00000048,ORD0000036,PROD00839,1,247.0,247.0
ITEM00000049,ORD0000037,PROD00458,1,538.83,538.83
ITEM00000050,ORD0000037,PROD00383,1,299.0,299.0
ITEM00000051,ORD0000038,PROD00111,1,197.33,197.33
ITEM00000052,ORD0000039,PROD00813,1,356.78,356.78
ITEM00000053,ORD0000039,PROD00383,1,299.0,299.0
ITEM00000054,ORD0000040,PROD01110,1,207.83,207.83
ITEM00000055,ORD0000040,PROD00934,1,267.64,267.64
ITEM00000056,ORD0000041,PROD00775,1,171.23,171.23
ITEM00000057,ORD0000042,PROD00413,1,40.89,40.89
ITEM00000058,ORD0000043,PROD00743,1,362.71,362.71
ITEM00000059,ORD0000043,PROD00843,1,226.07,226.07
ITEM00000060,ORD0000044,PROD00226,1,136.77,136.77
ITEM00000061,ORD0000044,PROD00525,1,334.71,334.71
ITEM00000062,ORD0000044,PROD00083,2,237.65,475.3
ITEM00000063,ORD0000044,PROD00508,1,78.85,78.85
ITEM00000064,ORD0000045,PROD01034,1,371.16,371.16
ITEM00000065,ORD0000046,PROD01198,1,35.97,35.97
ITEM00000066,ORD0000046,PROD00146,1,571.72,571.72
ITEM00000067,ORD0000047,PROD00442,1,387.82,387.82
ITEM00000068,ORD0000048,PROD00067,2,272.94,545.88
ITEM00000069,ORD0000049,PROD00150,1,201.21,201.21
ITEM00000070,ORD0000049,PROD00518,1,81.69,81.69
ITEM00000071,ORD0000050,PROD00404,1,160.87,160.87
ITEM00000072,ORD0000050,PROD00677,1,167.95,167.95
ITEM00000073,ORD0000051,PROD01107,1,18.65,18.65
ITEM00000074,ORD0000052,PROD00834,1,425.73,425.73
ITEM00000075,ORD0000052,PROD00192,3,109.02,327.06
ITEM00000076,ORD0000053,PROD00687,1,350.37,350.37
ITEM00000077,ORD0000053,PROD00607,1,78.32,78.32
ITEM00000078,ORD0000053,PROD01149,1,399.06,399.06
ITEM00000079,ORD0000054,PROD00333,1,460.51,460.51
ITEM00000080,ORD0000054,PROD00863,1,166.66,166.66
ITEM00000081,ORD0000055,PROD00130,1,535.37,535.37
ITEM00000082,ORD0000055,PROD01005,1,550.21,550.21
