payment_id,order_id,payment_method,amount,payment_date
PAY0000002,ORD0000002,Credit Card,718.39,2024-10-22
PAY0000003,ORD0000003,Credit Card,343.51,2025-08-12
PAY0000004,ORD0000004,Wallet,91.46,2025-01-16
PAY0000005,ORD0000005,UPI/Pix,492.23,2025-06-23
PAY0000006,ORD0000006,COD,425.09,2026-02-12
PAY0000007,ORD0000007,Debit Card,599.41,2025-03-14
PAY0000008,ORD0000008,Wallet,126.9,2026-04-12
PAY0000009,ORD0000009,Debit Card,455.16,2024-09-26
PAY0000013,ORD0000013,Credit Card,574.35,2024-08-05
PAY0000014,ORD0000014,COD,639.56,2025-06-24
PAY0000015,ORD0000015,UPI/Pix,318.37,2025-03-01
PAY0000016,ORD0000016,Debit Card,331.77,2025-06-14
PAY0000017,ORD0000017,UPI/Pix,1119.52,2024-07-23
PAY0000018,ORD0000018,Wallet,460.51,2026-02-17
PAY0000019,ORD0000019,COD,690.32,2026-05-02
PAY0000020,ORD0000020,UPI/Pix,293.94,2025-02-01
PAY0000021,ORD0000021,COD,232.13,2026-01-09
PAY0000022,ORD0000022,Credit Card,635.71,2025-12-15
PAY0000023,ORD0000023,Credit Card,425.93,2026-04-09
PAY0000025,ORD0000025,UPI/Pix,159.75,2024-11-16
PAY0000026,ORD0000026,COD,400.15,2026-04-01
PAY0000027,ORD0000027,Credit Card,358.33,2024-08-22
PAY0000029,ORD0000029,Debit Card,273.57,2025-12-01
PAY0000030,ORD0000030,Credit Card,62.66,2025-04-25
PAY0000031,ORD0000031,Credit Card,80.82,2025-01-14
PAY0000033,ORD0000033,Credit Card,110.37,2026-06-11
PAY0000034,ORD0000034,Credit Card,668.77,2025-02-17
PAY0000035,ORD0000035,Credit Card,90.17,2026-06-03
PAY0000036,ORD0000036,Wallet,247.0,2025-01-16
PAY0000037,ORD0000037,Credit Card,837.83,2025-12-07
PAY0000038,ORD0000038,Credit Card,197.33,2026-02-24
PAY0000039,ORD0000039,Debit Card,655.78,2024-12-15
PAY0000040,ORD0000040,Credit Card,475.47,2025-02-20
PAY0000041,ORD0000041,Wallet,171.23,2026-06-18
PAY0000045,ORD0000045,Debit Card,371.16,2025-12-06
PAY0000046,ORD0000046,Credit Card,607.69,2026-04-18
PAY0000047,ORD0000047,UPI/Pix,387.82,2025-08-27
PAY0000048,ORD0000048,UPI/Pix,545.88,2025-03-17
PAY0000051,ORD0000051,Wallet,18.65,2025-08-29
PAY0000052,ORD0000052,Wallet,752.79,2026-05-15
PAY0000053,ORD0000053,Wallet,827.75,2025-05-08
PAY0000054,ORD0000054,Credit Card,627.17,2026-02-24
PAY0000055,ORD0000055,UPI/Pix,1085.58,2026-06-24
PAY0000056,ORD0000056,Credit Card,192.72,2025-08-27
PAY0000057,ORD0000057,Credit Card,47.57,2025-07-15
PAY0000058,ORD0000058,UPI/Pix,202.0,2024-11-13
PAY0000059,ORD0000059,Credit Card,237.02,2025-05-13
PAY0000060,ORD0000060,UPI/Pix,1675.52,2024-11-07
PAY0000062,ORD0000062,Credit Card,374.92,2025-06-13
PAY0000063,ORD0000063,Debit Card,476.52,2025-11-24
PAY0000065,ORD0000065,UPI/Pix,284.13,2026-06-07
PAY0000066,ORD0000066,UPI/Pix,469.79,2025-03-09
PAY0000067,ORD0000067,Wallet,329.91,2024-05-14
PAY0000068,ORD0000068,Credit Card,558.22,2026-03-31
PAY0000069,ORD0000069,Debit Card,865.53,2024-01-16
PAY0000070,ORD0000070,Credit Card,657.35,2024-06-04
PAY0000071,ORD0000071,Debit Card,182.9,2025-04-18
PAY0000072,ORD0000072,Wallet,15.51,2025-06-08
PAY0000073,ORD0000073,Debit Card,476.1,2025-12-14
PAY0000074,ORD0000074,Credit Card,545.82,2026-03-21
PAY0000075,ORD0000075,Debit Card,217.2,2026-05-23
PAY0000077,ORD0000077,COD,306.77,2024-11-30
PAY0000078,ORD0000078,Debit Card,694.33,2025-02-10
PAY0000079,ORD0000079,Credit Card,1429.26,2025-12-26
PAY0000080,ORD0000080,Credit Card,821.0,2026-06-06
PAY0000081,ORD0000081,Credit Card,45.87,2024-02-28
PAY0000082,ORD0000082,Credit Card,1137.06,2024-02-07
PAY0000083,ORD0000083,UPI/Pix,700.74,2026-05-20
PAY0000084,ORD0000084,Wallet,725.16,2026-02-15
PAY0000085,ORD0000085,Credit Card,245.92,2026-01-20
PAY0000086,ORD0000086,UPI/Pix,192.83,2026-06-14
PAY0000087,ORD0000087,Credit Card,246.5,2024-12-05
PAY0000088,ORD0000088,UPI/Pix,704.11,2026-03-06
PAY0000091,ORD0000091,UPI/Pix,759.39,2025-07-26
PAY0000092,ORD0000092,Credit Card,947.77,2025-11-22
PAY0000093,ORD0000093,Credit Card,174.96,2025-01-12
PAY0000094,ORD0000094,UPI/Pix,420.44,2025-09-02
PAY0000095,ORD0000095,Credit Card,142.95,2024-08-09
PAY0000096,ORD0000096,Credit Card,566.51,2026-05-23
PAY0000097,ORD0000097,Credit Card,1259.33,2026-01-17
PAY0000098,ORD0000098,Credit Card,204.97,2026-06-20
PAY0000099,ORD0000099,Credit Card,182.92,2024-12-18
PAY0000100,ORD0000100,UPI/Pix,45.92,2024-08-13
PAY0000101,ORD0000101,Wallet,295.57,2024-06-29
PAY0000102,ORD0000102,Credit Card,851.06,2026-06-11
PAY0000103,ORD0000103,Wallet,308.26,2023-11-26
PAY0000104,ORD0000104,Credit Card,977.98,2023-09-09
PAY0000105,ORD0000105,UPI/Pix,491.46,2026-01-12
PAY0000106,ORD0000106,Debit Card,94.14,2026-06-19
PAY0000107,ORD0000107,Debit Card,482.28,2025-10-13
PAY0000108,ORD0000108,Credit Card,281.99,2025-11-09
PAY0000109,ORD0000109,Credit Card,538.12,2025-11-04
PAY0000110,ORD0000110,COD,307.14,2025-01-12
PAY0000111,ORD0000111,Credit Card,1797.84,2025-01-10
PAY0000112,ORD0000112,Credit Card,30.17,2024-06-18
PAY0000113,ORD0000113,Wallet,1143.74,2025-07-19
PAY0000114,ORD0000114,UPI/Pix,1655.17,2024-10-11
PAY0000115,ORD0000115,Credit Card,513.92,2025-03-02
PAY0000116,ORD0000116,Credit Card,543.09,2025-07-23
PAY0000117,ORD0000117,COD,713.2,2026-03-06
PAY0000118,ORD0000118,Wallet,316.05,2026-01-31
PAY0000121,ORD0000121,COD,584.65,2026-04-02
PAY0000122,ORD0000122,COD,710.29,2024-12-02
PAY0000124,ORD0000124,Credit Card,1057.5,2026-01-20
PAY0000125,ORD0000125,Debit Card,841.95,2025-09-28
PAY0000126,ORD0000126,UPI/Pix,794.09,2024-12-29
PAY0000127,ORD0000127,Debit Card,815.57,2026-01-29
PAY0000128,ORD0000128,Credit Card,269.81,2025-10-01
PAY0000129,ORD0000129,UPI/Pix,494.31,2026-06-02
PAY0000130,ORD0000130,UPI/Pix,111.31,2025-04-10
PAY0000131,ORD0000131,Debit Card,425.09,2026-05-06
PAY0000132,ORD0000132,Credit Card,1218.48,2026-03-25
PAY0000133,ORD0000133,UPI/Pix,1297.13,2024-04-08
PAY0000134,ORD0000134,Wallet,223.34,2024-07-20
PAY0000135,ORD0000135,Credit Card,534.21,2024-09-07
PAY0000137,ORD0000137,Wallet,19.19,2026-01-18
PAY0000138,ORD0000138,Credit Card,94.13,2026-02-17
PAY0000139,ORD0000139,Debit Card,195.54,2026-03-03
PAY0000140,ORD0000140,Credit Card,602.69,2026-06-04
PAY0000141,ORD0000141,Credit Card,170.29,2025-08-30
PAY0000143,ORD0000143,Credit Card,155.47,2026-03-16
PAY0000144,ORD0000144,UPI/Pix,73.17,2024-12-22
PAY0000145,ORD0000145,COD,141.83,2025-06-07
PAY0000147,ORD0000147,Debit Card,400.23,2026-01-10
PAY0000148,ORD0000148,Debit Card,2796.19,2026-03-24
PAY0000149,ORD0000149,Debit Card,1549.21,2023-11-11
PAY0000150,ORD0000150,Debit Card,93.35,2025-02-01
PAY0000151,ORD0000151,Credit Card,2290.75,2025-08-23
PAY0000152,ORD0000152,Wallet,552.61,2024-08-26
PAY0000153,ORD0000153,Credit Card,244.73,2024-06-06
PAY0000154,ORD0000154,UPI/Pix,91.51,2025-09-19
PAY0000155,ORD0000155,COD,283.32,2026-04-16
PAY0000156,ORD0000156,Credit Card,585.46,2026-02-06
PAY0000157,ORD0000157,COD,464.45,2025-05-18
PAY0000158,ORD0000158,Wallet,563.26,2025-01-05
PAY0000159,ORD0000159,Credit Card,313.69,2026-04-28
PAY0000160,ORD0000160,Credit Card,447.08,2026-02-19
PAY0000161,ORD0000161,Credit Card,1311.15,2026-03-11
PAY0000162,ORD0000162,Wallet,769.47,2026-05-14
PAY0000163,ORD0000163,Wallet,154.32,2026-05-01
PAY0000164,ORD0000164,Credit Card,887.64,2025-06-10
PAY0000165,ORD0000165,UPI/Pix,969.28,2026-02-16
PAY0000166,ORD0000166,Wallet,399.82,2026-05-20
PAY0000167,ORD0000167,Credit Card,1253.65,2024-05-07
PAY0000168,ORD0000168,Credit Card,1040.26,2026-02-14
PAY0000170,ORD0000170,Debit Card,296.51,2025-09-23
PAY0000171,ORD0000171,Credit Card,142.95,2025-11-17
PAY0000174,ORD0000174,Debit Card,832.44,2026-06-21
PAY0000175,ORD0000175,UPI/Pix,386.77,2026-01-26
PAY0000176,ORD0000176,UPI/Pix,135.81,2023-10-17
PAY0000178,ORD0000178,UPI/Pix,1983.16,2024-05-18
PAY0000179,ORD0000179,Credit Card,620.0,2025-08-09
PAY0000180,ORD0000180,Credit Card,176.62,2024-11-25
PAY0000181,ORD0000181,Debit Card,779.42,2025-01-21
PAY0000182,ORD0000182,Credit Card,1648.1,2024-06-24
PAY0000183,ORD0000183,Wallet,591.38,2025-11-29
PAY0000184,ORD0000184,Credit Card,1124.73,2026-05-15
PAY0000185,ORD0000185,Credit Card,1164.33,2025-12-12
PAY0000186,ORD0000186,Credit Card,826.51,2025-12-05
PAY0000188,ORD0000188,UPI/Pix,952.14,2025-05-06
PAY0000189,ORD0000189,Credit Card,100.49,2026-05-01
PAY0000190,ORD0000190,UPI/Pix,669.07,2026-01-03
PAY0000191,ORD0000191,Credit Card,656.46,2024-05-08
PAY0000192,ORD0000192,Debit Card,1681.65,2026-01-07
PAY0000193,ORD0000193,Wallet,233.2,2024-05-31
PAY0000194,ORD0000194,Debit Card,205.38,2026-01-10
PAY0000195,ORD0000195,UPI/Pix,329.15,2024-12-23
PAY0000196,ORD0000196,Credit Card,1332.89,2023-09-21
PAY0000197,ORD0000197,Credit Card,413.67,2025-10-22
PAY0000198,ORD0000198,Credit Card,1789.83,2025-12-28
PAY0000199,ORD0000199,Credit Card,130.23,2026-05-19
PAY0000200,ORD0000200,Debit Card,262.11,2023-12-10
PAY0000201,ORD0000201,Credit Card,120.53,2026-06-23
PAY0000202,ORD0000202,UPI/Pix,373.47,2026-02-12
PAY0000203,ORD0000203,Debit Card,19.68,2026-06-02
PAY0000204,ORD0000204,Credit Card,810.64,2025-01-07
PAY0000205,ORD0000205,Debit Card,1126.22,2025-08-11
PAY0000206,ORD0000206,UPI/Pix,413.61,2025-09-23
PAY0000207,ORD0000207,Debit Card,739.47,2025-11-25
PAY0000208,ORD0000208,Credit Card,255.72,2025-10-06
PAY0000209,ORD0000209,Credit Card,1327.27,2025-11-03
PAY0000211,ORD0000211,Credit Card,650.36,2024-07-13
PAY0000212,ORD0000212,UPI/Pix,851.24,2025-04-10
PAY0000214,ORD0000214,COD,97.79,2026-03-22
PAY0000215,ORD0000215,Credit Card,172.52,2025-12-29
PAY0000216,ORD0000216,COD,499.38,2025-12-23
PAY0000217,ORD0000217,Wallet,411.8,2026-03-13
PAY0000218,ORD0000218,Credit Card,508.86,2026-05-21
PAY0000219,ORD0000219,UPI/Pix,93.24,2025-09-11
PAY0000221,ORD0000221,UPI/Pix,173.51,2026-04-18
PAY0000222,ORD0000222,Credit Card,78.0,2026-05-21
PAY0000223,ORD0000223,Credit Card,287.84,2026-05-21
PAY0000224,ORD0000224,Credit Card,445.29,2025-12-14
PAY0000225,ORD0000225,Credit Card,22.96,2025-12-09
PAY0000226,ORD0000226,Credit Card,927.96,2024-09-13
PAY0000227,ORD0000227,UPI/Pix,93.7,2024-06-13
PAY0000228,ORD0000228,Credit Card,752.47,2025-02-12
PAY0000229,ORD0000229,UPI/Pix,476.52,2024-11-02
PAY0000230,ORD0000230,Credit Card,891.08,2025-03-19
PAY0000231,ORD0000231,UPI/Pix,498.75,2025-05-31
PAY0000232,ORD0000232,Credit Card,241.34,2025-08-30
PAY0000233,ORD0000233,Credit Card,2312.29,2025-08-20
PAY0000234,ORD0000234,Debit Card,487.32,2026-06-06
PAY0000235,ORD0000235,Credit Card,333.49,2026-04-23
PAY0000237,ORD0000237,Wallet,75.12,2026-04-27
PAY0000238,ORD0000238,UPI/Pix,826.51,2023-12-30
PAY0000239,ORD0000239,UPI/Pix,312.15,2026-04-07
PAY0000240,ORD0000240,Wallet,571.14,2024-02-12
PAY0000241,ORD0000241,Debit Card,649.95,2024-12-04
PAY0000242,ORD0000242,Credit Card,20.34,2024-11-10
PAY0000243,ORD0000243,Debit Card,660.48,2025-03-02
PAY0000244,ORD0000244,Credit Card,55.1,2025-04-04
PAY0000245,ORD0000245,UPI/Pix,523.54,2025-12-21
PAY0000246,ORD0000246,Credit Card,1333.05,2025-08-10
PAY0000248,ORD0000248,Wallet,1097.66,2026-03-21
PAY0000249,ORD0000249,UPI/Pix,470.55,2026-01-18
PAY0000250,ORD0000250,Wallet,953.04,2026-06-22
PAY0000252,ORD0000252,Debit Card,545.62,2024-07-05
PAY0000253,ORD0000253,UPI/Pix,692.46,2025-08-19
PAY0000254,ORD0000254,COD,169.22,2024-10-30
PAY0000255,ORD0000255,Credit Card,82.29,2024-03-06
PAY0000256,ORD0000256,Credit Card,571.35,2026-06-26
PAY0000257,ORD0000257,Debit Card,127.79,2026-05-13
PAY0000258,ORD0000258,Credit Card,242.8,2025-11-11
PAY0000259,ORD0000259,Credit Card,575.74,2025-12-12
PAY0000260,ORD0000260,Credit Card,214.88,2025-02-08
PAY0000262,ORD0000262,UPI/Pix,610.7,2026-03-08
PAY0000263,ORD0000263,Credit Card,60.2,2025-10-06
PAY0000265,ORD0000265,Credit Card,228.78,2025-12-14
PAY0000266,ORD0000266,Debit Card,489.86,2025-08-07
PAY0000267,ORD0000267,Credit Card,333.84,2025-05-23
PAY0000268,ORD0000268,Credit Card,185.1,2026-01-15
PAY0000269,ORD0000269,UPI/Pix,615.5,2025-09-07
PAY0000270,ORD0000270,Credit Card,356.78,2024-09-26
PAY0000271,ORD0000271,COD,31.94,2026-01-07
PAY0000272,ORD0000272,UPI/Pix,1140.23,2025-05-05
PAY0000273,ORD0000273,UPI/Pix,527.13,2026-02-17
PAY0000274,ORD0000274,Credit Card,888.7,2026-06-17
PAY0000275,ORD0000275,Credit Card,639.53,2025-08-17
PAY0000276,ORD0000276,Credit Card,1329.55,2026-01-29
PAY0000277,ORD0000277,Wallet,760.15,2025-09-12
PAY0000278,ORD0000278,Credit Card,490.86,2026-06-14
PAY0000279,ORD0000279,Credit Card,1187.76,2025-10-01
PAY0000280,ORD0000280,UPI/Pix,565.01,2025-06-18
PAY0000281,ORD0000281,Credit Card,362.71,2025-04-11
PAY0000282,ORD0000282,COD,600.48,2024-11-09
PAY0000283,ORD0000283,UPI/Pix,735.66,2025-04-21
PAY0000284,ORD0000284,UPI/Pix,242.05,2025-10-28
PAY0000285,ORD0000285,Credit Card,126.1,2024-03-11
PAY0000286,ORD0000286,UPI/Pix,221.7,2025-07-16
PAY0000287,ORD0000287,Wallet,51.56,2025-02-28
PAY0000288,ORD0000288,Credit Card,70.4,2026-05-25
PAY0000294,ORD0000294,Credit Card,965.63,2025-11-30
PAY0000296,ORD0000296,Wallet,787.09,2025-11-06
PAY0000298,ORD0000298,Credit Card,131.16,2026-02-27
PAY0000299,ORD0000299,UPI/Pix,291.25,2025-04-26
PAY0000300,ORD0000300,Credit Card,417.79,2026-04-06
PAY0000302,ORD0000302,Credit Card,523.46,2026-04-15
PAY0000303,ORD0000303,Credit Card,330.29,2025-08-06
PAY0000304,ORD0000304,Wallet,303.55,2025-05-08
PAY0000305,ORD0000305,Credit Card,307.49,2025-06-19
PAY0000306,ORD0000306,Credit Card,337.26,2026-01-01
PAY0000307,ORD0000307,Credit Card,204.97,2024-12-28
PAY0000308,ORD0000308,Credit Card,405.72,2025-12-04
PAY0000309,ORD0000309,UPI/Pix,474.04,2025-10-01
PAY0000310,ORD0000310,Credit Card,1099.31,2023-10-10
PAY0000311,ORD0000311,Credit Card,844.76,2024-06-21
PAY0000313,ORD0000313,Credit Card,934.98,2025-12-25
PAY0000314,ORD0000314,Credit Card,88.56,2025-01-11
PAY0000315,ORD0000315,UPI/Pix,1078.82,2026-04-17
PAY0000316,ORD0000316,Wallet,415.39,2024-09-06
PAY0000317,ORD0000317,Credit Card,108.99,2023-09-11
PAY0000319,ORD0000319,Debit Card,476.52,2025-02-16
PAY0000320,ORD0000320,UPI/Pix,474.67,2025-08-12
PAY0000322,ORD0000322,Debit Card,595.7,2025-05-05
PAY0000323,ORD0000323,COD,236.55,2024-03-13
PAY0000324,ORD0000324,UPI/Pix,939.2,2025-09-25
PAY0000325,ORD0000325,Credit Card,225.93,2026-06-28
PAY0000326,ORD0000326,Credit Card,418.41,2026-01-08
PAY0000327,ORD0000327,Credit Card,84.0,2025-06-08
PAY0000328,ORD0000328,UPI/Pix,124.98,2026-02-25
PAY0000329,ORD0000329,Credit Card,490.09,2026-04-17
PAY0000331,ORD0000331,Debit Card,368.15,2026-01-08
PAY0000332,ORD0000332,Debit Card,667.36,2026-02-16
PAY0000333,ORD0000333,Credit Card,549.96,2024-12-31
PAY0000334,ORD0000334,Credit Card,417.79,2025-07-09
PAY0000335,ORD0000335,Credit Card,561.85,2026-05-08
