review_id,order_id,customer_id,review_score,review_date
REV0000002,ORD0000002,CUST027330,5,2024-10-28
REV0000003,ORD0000003,CUST003615,5,2025-08-25
REV0000007,ORD0000007,CUST034564,3,2025-03-19
REV0000014,ORD0000014,CUST021761,1,2025-07-05
REV0000018,ORD0000018,CUST010264,5,2026-02-22
REV0000020,ORD0000020,CUST010607,3,2025-02-09
REV0000021,ORD0000021,CUST030480,5,2026-01-16
REV0000026,ORD0000026,CUST025519,5,2026-04-07
REV0000033,ORD0000033,CUST000988,5,2026-06-16
REV0000038,ORD0000038,CUST022375,5,2026-03-08
REV0000040,ORD0000040,CUST029883,4,2025-02-27
REV0000047,ORD0000047,CUST014161,4,2025-09-04
REV0000056,ORD0000056,CUST015836,3,2025-08-29
REV0000058,ORD0000058,CUST003201,4,2024-11-16
REV0000062,ORD0000062,CUST018044,1,2025-06-22
REV0000065,ORD0000065,CUST034454,3,2026-06-11
REV0000070,ORD0000070,CUST002294,5,2024-06-08
REV0000072,ORD0000072,CUST017585,4,2025-06-10
REV0000074,ORD0000074,CUST016053,3,2026-03-25
REV0000078,ORD0000078,CUST029920,4,2025-02-19
REV0000087,ORD0000087,CUST018815,5,2024-12-13
REV0000098,ORD0000098,CUST004268,5,2026-07-04
REV0000103,ORD0000103,CUST031229,4,2023-12-03
REV0000106,ORD0000106,CUST020812,3,2026-06-24
REV0000108,ORD0000108,CUST016458,4,2025-11-18
REV0000113,ORD0000113,CUST024585,3,2025-07-28
REV0000115,ORD0000115,CUST014609,5,2025-03-13
REV0000126,ORD0000126,CUST020024,3,2025-01-03
REV0000127,ORD0000127,CUST029794,5,2026-02-09
REV0000130,ORD0000130,CUST014649,4,2025-04-22
REV0000131,ORD0000131,CUST031505,3,2026-05-08
REV0000133,ORD0000133,CUST022776,5,2024-04-13
REV0000139,ORD0000139,CUST021004,5,2026-03-12
REV0000141,ORD0000141,CUST025043,5,2025-09-02
REV0000143,ORD0000143,CUST028816,4,2026-03-24
REV0000147,ORD0000147,CUST004018,5,2026-01-23
REV0000149,ORD0000149,CUST004803,5,2023-11-16
REV0000151,ORD0000151,CUST011590,2,2025-08-27
REV0000158,ORD0000158,CUST006095,5,2025-01-15
REV0000163,ORD0000163,CUST012553,1,2026-05-10
REV0000164,ORD0000164,CUST006323,3,2025-06-18
REV0000165,ORD0000165,CUST013923,4,2026-02-18
REV0000166,ORD0000166,CUST027184,5,2026-06-03
REV0000168,ORD0000168,CUST018011,4,2026-02-27
REV0000174,ORD0000174,CUST007331,4,2026-06-27
REV0000180,ORD0000180,CUST026217,5,2024-12-04
REV0000184,ORD0000184,CUST029068,4,2026-05-25
REV0000189,ORD0000189,CUST024221,4,2026-05-12
REV0000197,ORD0000197,CUST033403,5,2025-10-30
REV0000201,ORD0000201,CUST026287,4,2026-07-04
REV0000203,ORD0000203,CUST019829,4,2026-06-07
REV0000205,ORD0000205,CUST031975,2,2025-08-18
REV0000207,ORD0000207,CUST005681,5,2025-12-04
REV0000219,ORD0000219,CUST028560,5,2025-09-14
REV0000222,ORD0000222,CUST014761,4,2026-06-01
REV0000229,ORD0000229,CUST019043,5,2024-11-10
REV0000231,ORD0000231,CUST005838,5,2025-06-07
REV0000234,ORD0000234,CUST031404,5,2026-06-15
REV0000238,ORD0000238,CUST006604,5,2024-01-12
REV0000243,ORD0000243,CUST008677,3,2025-03-16
REV0000248,ORD0000248,CUST010397,2,2026-03-31
REV0000257,ORD0000257,CUST025136,4,2026-05-20
REV0000263,ORD0000263,CUST020722,3,2025-10-20
REV0000265,ORD0000265,CUST008156,5,2025-12-16
REV0000267,ORD0000267,CUST005403,4,2025-06-01
REV0000268,ORD0000268,CUST021857,5,2026-01-29
REV0000270,ORD0000270,CUST010446,5,2024-10-08
REV0000271,ORD0000271,CUST014976,5,2026-01-13
REV0000274,ORD0000274,CUST000469,5,2026-06-27
REV0000280,ORD0000280,CUST019829,4,2025-06-24
REV0000281,ORD0000281,CUST001034,4,2025-04-19
REV0000285,ORD0000285,CUST021359,4,2024-03-22
REV0000286,ORD0000286,CUST003416,5,2025-07-29
REV0000287,ORD0000287,CUST033161,5,2025-03-14
REV0000294,ORD0000294,CUST029620,3,2025-12-03
REV0000302,ORD0000302,CUST000700,5,2026-04-28
REV0000307,ORD0000307,CUST011513,3,2024-12-30
REV0000308,ORD0000308,CUST009252,5,2025-12-12
REV0000323,ORD0000323,CUST008663,4,2024-03-27
REV0000326,ORD0000326,CUST015670,5,2026-01-13
REV0000334,ORD0000334,CUST022999,4,2025-07-22
REV0000339,ORD0000339,CUST028888,5,2024-08-06
REV0000341,ORD0000341,CUST013695,4,2026-07-02
REV0000365,ORD0000365,CUST010291,5,2024-08-23
REV0000367,ORD0000367,CUST016700,4,2026-04-04
REV0000370,ORD0000370,CUST030703,4,2024-07-08
REV0000372,ORD0000372,CUST018080,2,2024-03-21
REV0000380,ORD0000380,CUST009972,5,2025-02-11
REV0000390,ORD0000390,CUST015639,1,2025-10-27
REV0000402,ORD0000402,CUST032968,5,2026-05-26
REV0000404,ORD0000404,CUST021300,5,2024-09-10
REV0000405,ORD0000405,CUST018886,5,2026-03-20
REV0000407,ORD0000407,CUST030186,4,2026-06-19
REV0000409,ORD0000409,CUST026693,5,2024-08-24
REV0000411,ORD0000411,CUST005324,3,2025-03-22
REV0000415,ORD0000415,CUST003346,3,2025-05-26
REV0000417,ORD0000417,CUST016870,5,2025-03-18
REV0000429,ORD0000429,CUST029151,5,2025-12-24
