customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment
CUST000001,200,3,3348.3500000000004,3,3,5,Loyal Customer
CUST000003,63,2,1892.67,4,2,4,Needs Attention
CUST000005,45,3,2734.93,4,3,4,Loyal Customer
CUST000007,47,7,4922.33,4,5,5,Champion
CUST000008,39,8,2693.75,5,5,4,Champion
CUST000009,320,1,298.93,2,1,1,Lost
CUST000010,75,2,1249.94,4,2,3,Needs Attention
CUST000013,40,9,6359.1900000000005,4,5,5,Champion
CUST000016,156,3,1240.46,3,3,3,Loyal Customer
CUST000019,330,1,419.6,2,1,1,Lost
CUST000021,45,3,2400.92,4,3,4,Loyal Customer
CUST000022,122,5,3903.91,3,4,5,Loyal Customer
CUST000023,159,1,492.98,3,1,2,Needs Attention
CUST000025,341,2,664.49,2,2,2,Lost
CUST000026,43,11,8844.81,4,5,5,Champion
CUST000029,32,5,2627.41,5,4,4,Champion
CUST000030,6,16,8554.71,5,5,5,Champion
CUST000031,570,2,1295.98,1,2,3,Lost
CUST000032,308,1,1565.86,2,1,4,Lost
CUST000033,551,2,872.96,1,2,3,Lost
CUST000034,148,1,173.02,3,1,1,Needs Attention
CUST000035,14,3,1358.68,5,3,3,Loyal Customer
CUST000039,185,1,33.42,3,1,1,Needs Attention
CUST000040,8,4,2248.12,5,4,4,Champion
CUST000041,175,5,1852.43,3,4,4,Loyal Customer
CUST000042,345,1,272.2,2,1,1,Lost
CUST000043,296,1,1011.79,2,1,3,Lost
CUST000044,98,4,2460.3199999999997,4,4,4,Champion
CUST000049,226,1,462.92,2,1,2,Lost
CUST000051,101,7,4172.42,4,5,5,Champion
CUST000052,2,6,4737.27,5,5,5,Champion
CUST000053,42,2,709.54,4,2,2,Needs Attention
CUST000056,885,1,483.81,1,1,2,Lost
CUST000057,203,1,76.78,3,1,1,Needs Attention
CUST000059,644,1,1226.84,1,1,3,Lost
CUST000062,6,2,1846.6599999999999,5,2,4,Needs Attention
CUST000063,221,5,6867.4400000000005,2,4,5,At Risk
CUST000064,312,2,600.19,2,2,2,Lost
CUST000066,58,6,4460.67,4,5,5,Champion
CUST000068,288,1,420.68,2,1,1,Lost
CUST000069,287,1,1929.71,2,1,4,Lost
CUST000070,60,2,3189.6099999999997,4,2,5,Needs Attention
CUST000071,630,1,100.49,1,1,1,Lost
CUST000072,382,1,544.88,2,1,2,Lost
CUST000073,388,2,925.01,2,2,3,Lost
CUST000074,565,1,321.12,1,1,1,Lost
CUST000075,13,2,2125.74,5,2,4,Needs Attention
CUST000079,237,1,523.46,2,1,2,Lost
CUST000081,115,3,720.14,3,3,2,Loyal Customer
CUST000082,328,1,442.04,2,1,2,Lost
CUST000083,53,2,709.99,4,2,2,Needs Attention
CUST000086,160,2,1299.33,3,2,3,Needs Attention
CUST000087,7,9,7430.67,5,5,5,Champion
CUST000089,62,6,3868.3399999999997,4,5,5,Champion
CUST000090,145,2,1527.87,3,2,3,Needs Attention
CUST000091,200,2,598.07,3,2,2,Needs Attention
CUST000093,787,1,1077.66,1,1,3,Lost
CUST000095,176,3,1439.6100000000001,3,3,3,Loyal Customer
CUST000096,32,5,2033.55,5,4,4,Champion
CUST000097,108,1,122.97,3,1,1,Needs Attention
CUST000098,549,1,576.69,1,1,2,Lost
CUST000101,133,7,4424.66,3,5,5,Loyal Customer
CUST000103,107,1,434.79,3,1,1,Needs Attention
CUST000105,117,4,1778.27,3,4,4,Loyal Customer
CUST000107,16,45,27453.07,5,5,5,Champion
CUST000108,848,1,164.68,1,1,1,Lost
CUST000109,185,2,952.87,3,2,3,Needs Attention
CUST000110,520,1,84.0,1,1,1,Lost
CUST000111,199,1,520.87,3,1,2,Needs Attention
CUST000114,102,5,2998.5699999999997,3,4,5,Loyal Customer
CUST000117,150,1,170.29,3,1,1,Needs Attention
CUST000119,162,3,385.40999999999997,3,3,1,Loyal Customer
CUST000120,670,1,652.25,1,1,2,Lost
CUST000122,228,1,103.35,2,1,1,Lost
CUST000125,279,1,748.25,2,1,2,Lost
CUST000126,16,4,1699.34,5,4,4,Champion
CUST000127,10,4,2926.55,5,4,5,Champion
CUST000129,66,4,886.16,4,4,3,Loyal Customer
CUST000131,54,3,1514.64,4,3,3,Loyal Customer
CUST000132,105,6,8182.450000000001,3,5,5,Loyal Customer
CUST000134,9,7,3758.0299999999997,5,5,5,Champion
CUST000136,263,2,689.6,2,2,2,Lost
CUST000137,16,5,1072.8000000000002,5,4,3,Loyal Customer
CUST000140,54,3,991.33,4,3,3,Loyal Customer
CUST000142,54,7,3877.36,4,5,5,Champion
CUST000144,254,3,2265.42,2,3,4,At Risk
CUST000145,507,1,2327.31,1,1,4,Lost
CUST000147,39,5,2284.91,5,4,4,Champion
CUST000148,730,1,15.51,1,1,1,Lost
CUST000149,253,1,931.91,2,1,3,Lost
CUST000150,181,1,1122.89,3,1,3,Needs Attention
CUST000151,14,3,1661.8200000000002,5,3,4,Loyal Customer
CUST000152,10,2,1321.4,5,2,3,Needs Attention
CUST000153,176,5,2225.2,3,4,4,Loyal Customer
CUST000156,22,4,1673.48,5,4,4,Champion
CUST000157,86,6,3137.69,4,5,5,Champion
CUST000158,948,1,87.15,1,1,1,Lost
CUST000161,159,3,2546.29,3,3,4,Loyal Customer
CUST000162,19,5,3962.83,5,4,5,Champion
CUST000163,237,4,2845.08,2,4,4,At Risk
CUST000164,222,2,631.59,2,2,2,Lost
CUST000165,6,2,615.71,5,2,2,Needs Attention
CUST000166,433,2,815.36,1,2,2,Lost
CUST000167,23,1,632.17,5,1,2,Needs Attention
CUST000168,194,3,1307.02,3,3,3,Loyal Customer
CUST000169,364,1,438.29,2,1,2,Lost
CUST000170,289,5,2686.05,2,4,4,At Risk
CUST000177,141,3,649.48,3,3,2,Loyal Customer
CUST000179,398,1,567.45,1,1,2,Lost
CUST000180,101,6,3739.63,4,5,5,Champion
CUST000182,172,1,656.23,3,1,2,Needs Attention
CUST000183,1,2,1384.58,5,2,3,Needs Attention
CUST000184,23,4,2000.76,5,4,4,Champion
CUST000185,22,4,2916.54,5,4,5,Champion
CUST000188,5,2,632.03,5,2,2,Needs Attention
