product_id,product_name,category,unit_cost,unit_price
PROD00001,Follow Plant,Books,23.71,54.58
PROD00002,Security Full,Sports & Leisure,259.64,529.62
PROD00003,Adult Response,Home & Furniture,260.67,574.35
PROD00004,Democrat All,Groceries,88.02,199.51
PROD00005,Hair Option,Books,264.55,584.65
PROD00006,Light During,Home & Furniture,224.83,508.86
PROD00007,Painting To,Electronics,147.54,311.21
PROD00008,Interesting Fast,Books,107.59,252.0
PROD00009,Game Across,Home & Furniture,122.82,299.88
PROD00010,Focus Enjoy,Beauty,162.65,400.23
PROD00011,Political Very,Beauty,126.69,325.04
PROD00012,Add Career,Auto Parts,128.97,220.05
PROD00013,Leader Relate,Garden & Tools,64.92,155.37
PROD00014,Not American,Garden & Tools,213.8,580.39
PROD00015,However Direction,Toys,184.83,330.47
PROD00016,Cover Fish,Auto Parts,297.61,727.43
PROD00017,Bank Interesting,Books,46.67,77.77
PROD00018,Study Support,Electronics,38.55,57.09
PROD00019,Produce Very,Garden & Tools,157.2,300.93
PROD00020,Go Like,Groceries,49.84,124.12
PROD00021,Seven Simple,Beauty,185.13,313.13
PROD00022,Accept Figure,Garden & Tools,62.85,105.08
PROD00023,Item Discussion,Groceries,147.48,242.5
PROD00024,Long Accept,Fashion,185.34,287.09
PROD00025,Religious Stand,Books,140.12,305.15
PROD00026,Middle As,Beauty,99.4,157.98
PROD00027,Glass Ready,Garden & Tools,235.78,635.63
PROD00028,Newspaper Special,Beauty,257.12,450.86
PROD00029,Finish Yard,Home & Furniture,87.02,179.94
PROD00030,Happen Fear,Beauty,244.95,454.3
PROD00031,Others American,Electronics,120.53,330.29
PROD00032,Together Mean,Electronics,148.85,279.6
PROD00033,Democratic Successful,Sports & Leisure,73.37,154.22
PROD00034,Friend Can,Electronics,189.59,459.09
PROD00035,Behind Entire,Fashion,34.77,51.25
PROD00036,Huge Force,Fashion,179.53,224.81
PROD00037,Art Far,Garden & Tools,296.97,572.52
PROD00038,Spring Hit,Beauty,227.27,472.95
PROD00039,Chance Southern,Electronics,269.04,446.42
PROD00040,Establish Relate,Toys,141.94,275.36
PROD00041,Ready Specific,Beauty,46.92,102.49
PROD00042,Population Teach,Toys,90.1,248.43
PROD00043,Executive Give,Sports & Leisure,19.46,42.09
PROD00044,Knowledge Hold,Electronics,153.03,293.54
PROD00045,Type Three,Beauty,196.65,243.07
PROD00046,Heavy Big,Sports & Leisure,130.22,220.97
PROD00047,Piece Listen,Beauty,171.15,303.55
PROD00048,Memory Firm,Toys,99.61,195.55
PROD00049,Congress Indeed,Electronics,30.33,74.35
PROD00050,Member Know,Auto Parts,132.44,323.34
PROD00051,Someone Meeting,Books,166.6,425.24
PROD00052,Eat Sport,Groceries,294.88,490.68
PROD00053,Own Training,Groceries,107.45,188.5
PROD00054,Professional Happen,Auto Parts,204.94,295.19
PROD00055,He Fact,Sports & Leisure,247.67,636.97
PROD00056,Nearly Back,Groceries,103.94,233.2
PROD00057,Air Raise,Groceries,279.33,369.86
PROD00058,Note Again,Books,104.96,176.95
PROD00059,Every Lawyer,Garden & Tools,291.09,420.44
PROD00060,Between Every,Groceries,5.64,15.51
PROD00061,Whatever Four,Sports & Leisure,192.08,330.26
PROD00062,Each Cell,Garden & Tools,238.03,474.71
PROD00063,Could Ten,Groceries,87.62,149.71
PROD00064,Avoid Behavior,Garden & Tools,39.53,77.43
PROD00065,Analysis Behind,Fashion,12.19,34.11
PROD00066,Choice Ask,Beauty,26.95,44.73
PROD00067,Technology Box,Fashion,165.2,272.94
PROD00068,Mr Painting,Sports & Leisure,252.55,453.13
PROD00069,Them Learn,Sports & Leisure,23.62,34.74
PROD00070,Story Evidence,Sports & Leisure,38.39,91.46
PROD00071,Picture Make,Home & Furniture,6.51,11.76
PROD00072,Task Support,Auto Parts,88.27,187.96
PROD00073,Answer Thousand,Toys,276.77,624.97
PROD00074,Without Usually,Groceries,86.5,108.71
PROD00075,Store Up,Home & Furniture,135.04,301.19
