order_id,product_id,product_name,category,quantity,line_total
ORD0000113,PROD00001,Follow Plant,Books,1,54.58
ORD0000653,PROD00001,Follow Plant,Books,1,54.58
ORD0000677,PROD00001,Follow Plant,Books,1,54.58
ORD0000690,PROD00001,Follow Plant,Books,1,54.58
ORD0002041,PROD00001,Follow Plant,Books,1,54.58
ORD0002380,PROD00001,Follow Plant,Books,1,54.58
ORD0002463,PROD00001,Follow Plant,Books,1,54.58
ORD0003307,PROD00001,Follow Plant,Books,1,54.58
ORD0003457,PROD00001,Follow Plant,Books,1,54.58
ORD0003630,PROD00001,Follow Plant,Books,2,109.16
ORD0003704,PROD00001,Follow Plant,Books,1,54.58
ORD0003994,PROD00001,Follow Plant,Books,2,109.16
ORD0005729,PROD00001,Follow Plant,Books,1,54.58
ORD0005762,PROD00001,Follow Plant,Books,1,54.58
ORD0006928,PROD00001,Follow Plant,Books,1,54.58
ORD0008606,PROD00001,Follow Plant,Books,1,54.58
ORD0009057,PROD00001,Follow Plant,Books,1,54.58
ORD0009219,PROD00001,Follow Plant,Books,1,54.58
ORD0009753,PROD00001,Follow Plant,Books,1,54.58
ORD0010738,PROD00001,Follow Plant,Books,1,54.58
ORD0012193,PROD00001,Follow Plant,Books,1,54.58
ORD0012258,PROD00001,Follow Plant,Books,1,54.58
ORD0014338,PROD00001,Follow Plant,Books,1,54.58
ORD0014375,PROD00001,Follow Plant,Books,1,54.58
ORD0015769,PROD00001,Follow Plant,Books,1,54.58
ORD0016540,PROD00001,Follow Plant,Books,1,54.58
ORD0017471,PROD00001,Follow Plant,Books,1,54.58
ORD0017666,PROD00001,Follow Plant,Books,2,109.16
ORD0019076,PROD00001,Follow Plant,Books,1,54.58
ORD0019242,PROD00001,Follow Plant,Books,1,54.58
ORD0019454,PROD00001,Follow Plant,Books,1,54.58
ORD0019469,PROD00001,Follow Plant,Books,1,54.58
ORD0019723,PROD00001,Follow Plant,Books,1,54.58
ORD0019821,PROD00001,Follow Plant,Books,1,54.58
ORD0020592,PROD00001,Follow Plant,Books,1,54.58
ORD0020738,PROD00001,Follow Plant,Books,2,109.16
ORD0020760,PROD00001,Follow Plant,Books,1,54.58
ORD0021408,PROD00001,Follow Plant,Books,1,54.58
ORD0021665,PROD00001,Follow Plant,Books,1,54.58
ORD0023462,PROD00001,Follow Plant,Books,1,54.58
ORD0023583,PROD00001,Follow Plant,Books,1,54.58
ORD0023645,PROD00001,Follow Plant,Books,1,54.58
ORD0023648,PROD00001,Follow Plant,Books,1,54.58
ORD0023761,PROD00001,Follow Plant,Books,2,109.16
ORD0023792,PROD00001,Follow Plant,Books,1,54.58
ORD0024307,PROD00001,Follow Plant,Books,1,54.58
ORD0024596,PROD00001,Follow Plant,Books,1,54.58
