order_id,customer_id,order_date,region,order_status,order_total,is_returned,payment_method
ORD0000001,CUST022623,2026-04-16,Southeast,Cancelled,318.86,0,
ORD0000002,CUST027330,2024-10-22,Central-West,Delivered,718.39,0,Credit Card
ORD0000003,CUST003615,2025-08-12,Southeast,Delivered,343.51,0,Credit Card
ORD0000004,CUST033659,2025-01-16,Southeast,Delivered,91.46,0,Wallet
ORD0000005,CUST007455,2025-06-23,North,Shipped,492.23,0,UPI/Pix
ORD0000006,CUST031850,2026-02-12,Northeast,Delivered,425.09,0,COD
ORD0000007,CUST034564,2025-03-14,Northeast,Delivered,599.41,0,Debit Card
ORD0000008,CUST003652,2026-04-12,Southeast,Delivered,126.9,0,Wallet
ORD0000009,CUST030997,2024-09-26,Northeast,Delivered,455.16,0,Debit Card
ORD0000010,CUST022269,2024-12-15,Southeast,Cancelled,304.71,0,
ORD0000011,CUST028383,2025-09-29,Southeast,Cancelled,330.47,0,
ORD0000012,CUST003978,2024-11-28,South,Cancelled,47.22,0,
ORD0000013,CUST028992,2024-08-05,Central-West,Shipped,574.35,0,Credit Card
ORD0000014,CUST021761,2025-06-24,Central-West,Delivered,639.56,0,COD
ORD0000015,CUST017790,2025-03-01,Southeast,Delivered,318.37,0,UPI/Pix
ORD0000016,CUST019477,2025-06-14,Southeast,Delivered,331.77,0,Debit Card
ORD0000017,CUST025823,2024-07-23,Northeast,Delivered,1119.52,0,UPI/Pix
ORD0000018,CUST010264,2026-02-17,Central-West,Delivered,460.51,0,Wallet
ORD0000019,CUST033014,2026-05-02,South,Returned,690.32,1,COD
ORD0000020,CUST010607,2025-02-01,South,Delivered,293.94,0,UPI/Pix
ORD0000021,CUST030480,2026-01-09,Northeast,Delivered,232.13,0,COD
ORD0000022,CUST000439,2025-12-15,Northeast,Shipped,635.71,0,Credit Card
ORD0000023,CUST031906,2026-04-09,Southeast,Delivered,425.93,0,Credit Card
ORD0000024,CUST029611,2026-05-11,South,Cancelled,984.46,0,
ORD0000025,CUST004547,2024-11-16,Southeast,Delivered,159.75,0,UPI/Pix
ORD0000026,CUST025519,2026-04-01,Southeast,Delivered,400.15,0,COD
ORD0000027,CUST012841,2024-08-22,North,Returned,358.33,1,Credit Card
ORD0000028,CUST016623,2024-07-30,Southeast,Cancelled,2110.2,0,
ORD0000029,CUST002451,2025-12-01,Southeast,Shipped,273.57,0,Debit Card
ORD0000030,CUST007486,2025-04-25,Northeast,Returned,62.66,1,Credit Card
ORD0000031,CUST033392,2025-01-14,Northeast,Delivered,80.82,0,Credit Card
ORD0000032,CUST014514,2026-01-26,Southeast,Cancelled,111.31,0,
ORD0000033,CUST000988,2026-06-11,Southeast,Delivered,110.37,0,Credit Card
ORD0000034,CUST017948,2025-02-17,South,Returned,668.77,1,Credit Card
ORD0000035,CUST034811,2026-06-03,South,Delivered,90.17,0,Credit Card
ORD0000036,CUST011518,2025-01-16,Southeast,Returned,247.0,1,Wallet
ORD0000037,CUST005166,2025-12-07,Central-West,Delivered,837.83,0,Credit Card
ORD0000038,CUST022375,2026-02-24,North,Delivered,197.33,0,Credit Card
ORD0000039,CUST032040,2024-12-15,Southeast,Returned,655.78,1,Debit Card
ORD0000040,CUST029883,2025-02-20,Southeast,Delivered,475.47,0,Credit Card
ORD0000041,CUST022819,2026-06-18,South,Delivered,171.23,0,Wallet
ORD0000042,CUST006454,2025-02-26,Southeast,Cancelled,40.89,0,
ORD0000043,CUST027168,2025-05-26,South,Cancelled,588.78,0,
ORD0000044,CUST028560,2026-01-24,Southeast,Cancelled,1025.63,0,
ORD0000045,CUST029555,2025-12-06,South,Delivered,371.16,0,Debit Card
ORD0000046,CUST013946,2026-04-18,North,Delivered,607.69,0,Credit Card
ORD0000047,CUST014161,2025-08-27,Southeast,Delivered,387.82,0,UPI/Pix
ORD0000048,CUST005610,2025-03-17,South,Delivered,545.88,0,UPI/Pix
ORD0000049,CUST026771,2026-03-28,Southeast,Cancelled,282.9,0,
ORD0000050,CUST025522,2025-08-12,Southeast,Cancelled,328.82,0,
ORD0000051,CUST003615,2025-08-29,Southeast,Shipped,18.65,0,Wallet
ORD0000052,CUST000787,2026-05-15,South,Delivered,752.79,0,Wallet
ORD0000053,CUST033320,2025-05-08,Central-West,Returned,827.75,1,Wallet
ORD0000054,CUST000647,2026-02-24,South,Returned,627.17,1,Credit Card
ORD0000055,CUST021813,2026-06-24,Southeast,Returned,1085.58,1,UPI/Pix
ORD0000056,CUST015836,2025-08-27,South,Delivered,192.72,0,Credit Card
ORD0000057,CUST026939,2025-07-15,South,Returned,47.57,1,Credit Card
ORD0000058,CUST003201,2024-11-13,South,Delivered,202.0,0,UPI/Pix
ORD0000059,CUST023640,2025-05-13,Southeast,Delivered,237.02,0,Credit Card
ORD0000060,CUST021370,2024-11-07,Southeast,Shipped,1675.52,0,UPI/Pix
ORD0000061,CUST029685,2025-06-27,South,Cancelled,476.84,0,
ORD0000062,CUST018044,2025-06-13,Southeast,Delivered,374.92,0,Credit Card
ORD0000063,CUST025219,2025-11-24,Southeast,Delivered,476.52,0,Debit Card
ORD0000064,CUST015280,2025-12-06,Central-West,Cancelled,566.08,0,
ORD0000065,CUST034454,2026-06-07,Southeast,Delivered,284.13,0,UPI/Pix
ORD0000066,CUST019454,2025-03-09,Southeast,Delivered,469.79,0,UPI/Pix
ORD0000067,CUST026119,2024-05-14,Southeast,Shipped,329.91,0,Wallet
ORD0000068,CUST003341,2026-03-31,North,Delivered,558.22,0,Credit Card
ORD0000069,CUST016159,2024-01-16,Southeast,Delivered,865.53,0,Debit Card
ORD0000070,CUST002294,2024-06-04,South,Delivered,657.35,0,Credit Card
ORD0000071,CUST004452,2025-04-18,South,Shipped,182.9,0,Debit Card
ORD0000072,CUST017585,2025-06-08,Southeast,Delivered,15.51,0,Wallet
ORD0000073,CUST012140,2025-12-14,North,Returned,476.1,1,Debit Card
ORD0000074,CUST016053,2026-03-21,South,Delivered,545.82,0,Credit Card
ORD0000075,CUST017204,2026-05-23,Southeast,Returned,217.2,1,Debit Card
ORD0000076,CUST005757,2023-11-06,South,Cancelled,710.07,0,
ORD0000077,CUST012610,2024-11-30,North,Delivered,306.77,0,COD
ORD0000078,CUST029920,2025-02-10,Southeast,Delivered,694.33,0,Debit Card
ORD0000079,CUST029804,2025-12-26,Southeast,Shipped,1429.26,0,Credit Card
ORD0000080,CUST017067,2026-06-06,South,Delivered,821.0,0,Credit Card
ORD0000081,CUST025977,2024-02-28,South,Returned,45.87,1,Credit Card
ORD0000082,CUST026119,2024-02-07,Southeast,Delivered,1137.06,0,Credit Card
ORD0000083,CUST001617,2026-05-20,Central-West,Delivered,700.74,0,UPI/Pix
ORD0000084,CUST021296,2026-02-15,Southeast,Shipped,725.16,0,Wallet
ORD0000085,CUST027904,2026-01-20,North,Returned,245.92,1,Credit Card
ORD0000086,CUST020722,2026-06-14,Southeast,Delivered,192.83,0,UPI/Pix
ORD0000087,CUST018815,2024-12-05,South,Delivered,246.5,0,Credit Card
ORD0000088,CUST018429,2026-03-06,Southeast,Delivered,704.11,0,UPI/Pix
ORD0000089,CUST017664,2024-12-11,Central-West,Cancelled,580.23,0,
ORD0000090,CUST026953,2024-12-20,South,Cancelled,387.64,0,
ORD0000091,CUST022319,2025-07-26,Northeast,Delivered,759.39,0,UPI/Pix
ORD0000092,CUST007557,2025-11-22,Southeast,Returned,947.77,1,Credit Card
ORD0000093,CUST015106,2025-01-12,North,Delivered,174.96,0,Credit Card
ORD0000094,CUST018365,2025-09-02,Southeast,Delivered,420.44,0,UPI/Pix
ORD0000095,CUST014563,2024-08-09,South,Delivered,142.95,0,Credit Card
ORD0000096,CUST008305,2026-05-23,Southeast,Shipped,566.51,0,Credit Card
ORD0000097,CUST004561,2026-01-17,Northeast,Shipped,1259.33,0,Credit Card
ORD0000098,CUST004268,2026-06-20,Southeast,Delivered,204.97,0,Credit Card
ORD0000099,CUST010223,2024-12-18,Central-West,Delivered,182.92,0,Credit Card
ORD0000100,CUST013891,2024-08-13,Northeast,Returned,45.92,1,UPI/Pix
ORD0000101,CUST023652,2024-06-29,Southeast,Shipped,295.57,0,Wallet
ORD0000102,CUST034503,2026-06-11,South,Delivered,851.06,0,Credit Card
ORD0000103,CUST031229,2023-11-26,Central-West,Delivered,308.26,0,Wallet
ORD0000104,CUST028248,2023-09-09,South,Returned,977.98,1,Credit Card
ORD0000105,CUST028248,2026-01-12,South,Returned,491.46,1,UPI/Pix
ORD0000106,CUST020812,2026-06-19,South,Delivered,94.14,0,Debit Card
ORD0000107,CUST008682,2025-10-13,Northeast,Shipped,482.28,0,Debit Card
ORD0000108,CUST016458,2025-11-09,Northeast,Delivered,281.99,0,Credit Card
ORD0000109,CUST005194,2025-11-04,North,Returned,538.12,1,Credit Card
